SQL Statements,Modified_Statements,Missing Type,Missing Element,Error Position,Query Length,Query Type
"SELECT  SUM(cnt) FROM ( SELECT  z, COUNT(DISTINCT x) AS cnt FROM ( SELECT a.follower AS x ,  b.followee AS z FROM  [354].[twitter_rv.6157841] a JOIN  [354].[twitter_rv.6157841] b ON a.followee = b.follower ) joined WHERE  z < 4000 GROUP BY  z --OPTION (MERGE JOIN ,  ORDER GROUP) ) joined_distinct","SELECT  SUM(cnt) FROM ( SELECT  z, COUNT(DISTINCT x) AS cnt FROM ( SELECT  ,  b.followee AS z FROM  [354].[twitter_rv.6157841] a JOIN  [354].[twitter_rv.6157841] b ON a.followee = b.follower ) joined WHERE  z < 4000 GROUP BY  z --OPTION (MERGE JOIN ,  ORDER GROUP) ) joined_distinct",Missing Column,a.follower,{'a.follower': 14},297,SELECT
select * from xyzw,select * from xyzw,Missing Table,xyzw,{'xyzw': 4},18,SELECT
"SELECT  DISTINCT CASE WHEN PATINDEX('%[0-9]%',  [protein]) = 1 -- first char is number AND  CHARINDEX(', ',  [protein]) = 0 -- AND  no comma present THEN [protein] ELSE SUBSTRING([protein], PATINDEX('%[0-9]%',  [protein]),  -- start at first number CHARINDEX(', ',  [protein])-PATINDEX('%[0-9]%',  [protein])) -- length END AS [protein A1162] ,  [tot indep spectra] AS [tot spectra A1162] FROM  [412].[A1_file162.txt]",No modification,N/A,N/A,{},417,SELECT
"SELECT  c.TAIL_NUM,  c.DEST,  n.ORIGIN,  c.ARR_TIME,  n.DEP_TIME,  c.DATE,  n.DATE FROM  [372].[flights09_part] c JOIN [372].[flights09_part] n ON n.ID = ( SELECT  TOP 1 n.ID FROM  [372].[flights09_part] next WHERE  c.TAIL_NUM = next.TAIL_NUM AND  c.DEST != next.ORIGIN AND  (c.DATE < next.DATE OR  (c.DATE = next.DATE AND  c.ARR_TIME <= next.DEP_TIME)) ORDER BY  c.DATE,  next.DATE ASC)","  c.TAIL_NUM,  c.DEST,  n.ORIGIN,  c.ARR_TIME,  n.DEP_TIME,  c.DATE,  n.DATE FROM  [372].[flights09_part] c JOIN [372].[flights09_part] n ON n.ID = ( SELECT  TOP 1 n.ID FROM  [372].[flights09_part] next WHERE  c.TAIL_NUM = next.TAIL_NUM AND  c.DEST != next.ORIGIN AND  (c.DATE < next.DATE OR  (c.DATE = next.DATE AND  c.ARR_TIME <= next.DEP_TIME)) ORDER BY  c.DATE,  next.DATE ASC)",Missing Keywords,SELECT,{'SELECT': 1},387,SELECT
select * from sys.tables where name like '%table%',No modification,N/A,N/A,{},50,SELECT
SELECT  * FROM  [823].[CGbigill5x_asgff] where score >= 0.25,SELECT * FROM  [823].[CGbigill5x_asgff] where  >= 0.25,Missing Column,score,{'score': 6},60,SELECT
SELECT  * FROM  [823].[TJGR_genomic_genes_fastatabular.txt] where Column2 like 'N',No modification,N/A,N/A,{},82,SELECT
WITH  num_tracks AS (SELECT  COUNT(*) as num_tracks FROM  [1059].[SDS_VIEW] WHERE  UnixTimestamp > 0) SELECT  * FROM  num_tracks,WITH  num_tracks AS (SELECT  COUNT(*) as num_tracks FROM  [1059].[SDS_VIEW] WHERE  UnixTimestamp > 0) SELECT   FROM  num_tracks,Missing Column,*,{'*': 15},128,OTHER
"SELECT  CONVERT(datetime,  time,  3) AS timestamp, LAT,  LON,  [BULK.RED],  day,  [file] FROM  [1057].[Tokyo_1_sds_1.csv]","SELECT  (datetime,  time,  3) AS timestamp, LAT,  LON,  [BULK.RED],  day,  [file] FROM  [1057].[Tokyo_1_sds_1.csv]",Missing Function,CONVERT,{'CONVERT': 2},121,SELECT
"SELECT  ROW_NUMBER() OVER (PARTITION BY TAIL_NUM,  ORIGIN,  DEST,  EARLIEST,  ETIME ORDER BY  TAIL_NUM),  f.*,  o.Latitude oLat,  o.Longitude oLon,  d.Latitude dLat,  d.Longitude dLon FROM  [372].[ghost_flights] f JOIN [372].[airports] o ON f.ORIGIN = o.""IATA/FAA"" JOIN [372].[airports] d ON f.DEST = d.""IATA/FAA""","SELECT  ROW_NUMBER() OVER ( BY TAIL_NUM,  ORIGIN,  DEST,  EARLIEST,  ETIME ORDER BY  TAIL_NUM),  f.*,  o.Latitude oLat,  o.Longitude oLon,  d.Latitude dLat,  d.Longitude dLon FROM  [372].[ghost_flights] f JOIN [372].[airports] o ON f.ORIGIN = o.""IATA/FAA"" JOIN [372].[airports] d ON f.DEST = d.""IATA/FAA""",Missing Keywords,PARTITION,{'PARTITION': 4},313,SELECT
"SELECT  InterproEntry,  count(*) InterproIdHits  FROM  [826].[Ox_Fracy_uniqueIPRsperprotein] group by InterproEntry order by InterproIdHits DESC","SELECT  InterproEntry,  count(*) InterproIdHits  FROM  [826].[Ox_Fracy_uniqueIPRsperprotein] group by InterproEntry order by InterproIdHits",Missing Keywords,DESC,{'DESC': 13},144,SELECT
"WITH  pop AS (SELECT  [time],  [pop],  log([fsc_small],  10) as [fsc_small] FROM  [1059].[STATS_VIEW]) SELECT  * FROM  pop PIVOT ( SUM([fsc_small]) FOR  [pop] in ([beads],  [picoeuk],  [prochloro],  [synecho],  [pennates],  [unknown]) ) as pivot_table","WITH  pop AS (SELECT  [time],  [pop],  log([fsc_small],  10) as [fsc_small] FROM  [1059].[STATS_VIEW]) SELECT   FROM  pop PIVOT ( SUM([fsc_small]) FOR  [pop] in ([beads],  [picoeuk],  [prochloro],  [synecho],  [pennates],  [unknown]) ) as pivot_table",Missing Column,*,{'*': 14},251,OTHER
"SELECT  [PeptideSequence],  SUM([2_01 TotalArea]) AS CG2_01,  SUM([2_02 TotalArea]) AS CG2_02,  SUM([2_03 TotalArea]) AS CG2_03,  SUM([5_01 TotalArea]) AS CG5_01,  SUM([5_02 TotalArea]) AS CG5_02,  SUM([5_03 TotalArea]) AS CG5_03,  SUM([8_01 TotalArea]) AS CG8_01,  SUM([8_02 TotalArea]) AS CG8_02,  SUM([8_03 TotalArea]) AS CG8_03,  SUM([11_01 TotalArea]) AS CG11_01,  SUM([11_02 TotalArea]) AS CG11_02,  SUM([11_03 TotalArea]) AS CG11_03,   SUM([26_01 TotalArea]) AS CG26_01,  SUM([26_02 TotalArea]) AS CG26_02,  SUM([26_03 TotalArea]) AS CG26_03,  SUM([29_01 TotalArea]) AS CG29_01,  SUM([29_02 TotalArea]) AS CG29_02,  SUM([29_03 TotalArea]) AS CG29_03,  SUM([32_01 TotalArea]) AS CG32_01,  SUM([32_02 TotalArea]) AS CG32_02,  SUM([32_03 TotalArea]) AS CG32_03,  SUM([35_01 TotalArea]) AS CG35_01,  SUM([35_02 TotalArea]) AS CG35_02,  SUM([35_03 TotalArea]) AS CG35_03,  SUM([221_01 TotalArea]) AS CG221_01,  SUM([221_02 TotalArea]) AS CG221_02,  SUM([221_03 TotalArea]) AS CG221_03,  SUM([224_01 TotalArea]) AS CG224_01,  SUM([224_02 TotalArea]) AS CG224_02,  SUM([224_03 TotalArea]) AS CG224_03,  SUM([227_01 TotalArea]) AS CG227_01,  SUM([227_02 TotalArea]) AS CG227_02,  SUM([227_03 TotalArea]) AS CG227_03,  SUM([230_01 TotalArea]) AS CG230_01,  SUM([230_02 TotalArea]) AS CG230_02,  SUM([230_03 TotalArea]) AS CG230_03, SUM([242_01 TotalArea]) AS CG242_01,  SUM([242_02 TotalArea]) AS CG242_02,  SUM([242_03 TotalArea]) AS CG242_03,  SUM([245_01 TotalArea]) AS CG245_01,  SUM([245_02 TotalArea]) AS CG245_02,  SUM([245_03 TotalArea]) AS CG245_03,  SUM([248_01 TotalArea]) AS CG248_01,  SUM([248_02 TotalArea]) AS CG248_02,  SUM([248_03 TotalArea]) AS CG248_03,  SUM([251_01 TotalArea]) AS CG251_01,  SUM([251_02 TotalArea]) AS CG251_02,  SUM([251_03 TotalArea]) AS CG251_03 FROM  [412].[pep peak areas all oysters2.txt] GROUP BY  [PeptideSequence]","SELECT  ,  SUM([2_01 TotalArea]) AS CG2_01,  SUM([2_02 TotalArea]) AS CG2_02,  SUM([2_03 TotalArea]) AS CG2_03,  SUM([5_01 TotalArea]) AS CG5_01,  SUM([5_02 TotalArea]) AS CG5_02,  SUM([5_03 TotalArea]) AS CG5_03,  SUM([8_01 TotalArea]) AS CG8_01,  SUM([8_02 TotalArea]) AS CG8_02,  SUM([8_03 TotalArea]) AS CG8_03,  SUM([11_01 TotalArea]) AS CG11_01,  SUM([11_02 TotalArea]) AS CG11_02,  SUM([11_03 TotalArea]) AS CG11_03,   SUM([26_01 TotalArea]) AS CG26_01,  SUM([26_02 TotalArea]) AS CG26_02,  SUM([26_03 TotalArea]) AS CG26_03,  SUM([29_01 TotalArea]) AS CG29_01,  SUM([29_02 TotalArea]) AS CG29_02,  SUM([29_03 TotalArea]) AS CG29_03,  SUM([32_01 TotalArea]) AS CG32_01,  SUM([32_02 TotalArea]) AS CG32_02,  SUM([32_03 TotalArea]) AS CG32_03,  SUM([35_01 TotalArea]) AS CG35_01,  SUM([35_02 TotalArea]) AS CG35_02,  SUM([35_03 TotalArea]) AS CG35_03,  SUM([221_01 TotalArea]) AS CG221_01,  SUM([221_02 TotalArea]) AS CG221_02,  SUM([221_03 TotalArea]) AS CG221_03,  SUM([224_01 TotalArea]) AS CG224_01,  SUM([224_02 TotalArea]) AS CG224_02,  SUM([224_03 TotalArea]) AS CG224_03,  SUM([227_01 TotalArea]) AS CG227_01,  SUM([227_02 TotalArea]) AS CG227_02,  SUM([227_03 TotalArea]) AS CG227_03,  SUM([230_01 TotalArea]) AS CG230_01,  SUM([230_02 TotalArea]) AS CG230_02,  SUM([230_03 TotalArea]) AS CG230_03, SUM([242_01 TotalArea]) AS CG242_01,  SUM([242_02 TotalArea]) AS CG242_02,  SUM([242_03 TotalArea]) AS CG242_03,  SUM([245_01 TotalArea]) AS CG245_01,  SUM([245_02 TotalArea]) AS CG245_02,  SUM([245_03 TotalArea]) AS CG245_03,  SUM([248_01 TotalArea]) AS CG248_01,  SUM([248_02 TotalArea]) AS CG248_02,  SUM([248_03 TotalArea]) AS CG248_03,  SUM([251_01 TotalArea]) AS CG251_01,  SUM([251_02 TotalArea]) AS CG251_02,  SUM([251_03 TotalArea]) AS CG251_03 FROM  [412].[pep peak areas all oysters2.txt] GROUP BY   [PeptideSequence]",Missing Table,[PeptideSequence],{'[PeptideSequence]': 203},1857,SELECT
"SELECT CGI_ID, GOslim_bin FROM  [1123].[Cgigas-DEGlist-sql]deg left join [1123].[qDOD_Cgigas_GOslim_DISTINCT]sl on deg.baseMean=sl.CGI_ID","SELECT , GOslim_bin FROM  [1123].[Cgigas-DEGlist-sql]deg left join [1123].[qDOD_Cgigas_GOslim_DISTINCT]sl on deg.baseMean=sl.CGI_ID",Missing Column,CGI_ID,{'CGI_ID': 2},137,SELECT
"SELECT [protein] AS [protein36], [protein probability] AS [protein probability36], [percent coverage] AS [percent coverage36], [tot indep spectra] AS [tot indep spectra36], [peptides] AS [peptides36] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea36.prot.xls] WHERE  [tot indep spectra]>1",No modification,N/A,N/A,{},290,SELECT
SELECT  * FROM  [446].[LineP_CAMERA_annotation] WHERE  Function_1 LIKE 'iron',  * FROM  [446].[LineP_CAMERA_annotation] WHERE  Function_1 LIKE 'iron',Missing Keywords,SELECT,{'SELECT': 1},77,SELECT
"SELECT  iron.Station,  protein.Station FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] iron ,  [446].[Iron-related_Proteins] protein WHERE  iron.Station != protein.Station","SELECT  ,  protein.Station FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] iron ,  [446].[Iron-related_Proteins] protein WHERE  iron.Station != protein.Station",Missing Column,iron.Station,{'iron.Station': 11},172,SELECT
"SELECT  geneDesc.* ,  methRatio.MethRatio FROM  [354].[TJGR_Gene_SPID_evalue_Description.txt] geneDesc ,  [354].[methylation_ratio_CG_gene] methRatio WHERE  geneDesc.Column1 = SUBSTRING(methRatio.GroupID,  CHARINDEX('CGI',  methRatio.GroupID),  LEN(methRatio.GroupID))",No modification,N/A,N/A,{},268,SELECT
"SELECT  * FROM  [1052].[Pile Point Currents 00-11.txt] maxebb ,  [1052].[Pile Point Currents 00-11.txt] slackebb WHERE  maxebb.date = slackebb.date AND  maxebb.current_intensity = 'Max Ebb' AND  slackebb.current_intensity like '%Slack%'","SELECT  * FROM  [1052].[Pile Point Currents 00-11.txt] maxebb ,  [1052].[Pile Point Currents 00-11.txt] slackebb WHERE  maxebb.date = slackebb.date AND  maxebb.current_intensity = 'Max Ebb' AND  slackebb.current_intensity '%Slack%'",Missing Keywords,like,{'like': 26},236,SELECT
SELECT  * FROM  [1314howe].[uw_employees_dept.csv] WHERE  email like 'ahindra%',  * FROM  [1314howe].[uw_employees_dept.csv] WHERE  email like 'ahindra%',Missing Keywords,SELECT,{'SELECT': 1},79,SELECT
SELECT  * FROM  [532].[schools.csv] WHERE  [zipcode] > 2000,No modification,N/A,N/A,{},59,SELECT
SELECT  * FROM  [145].[traj_all] where idx%3 = 0,SELECT   FROM  [145].[traj_all] where idx%3 = 0,Missing Column,*,{'*': 2},48,SELECT
SELECT  * FROM  [1123].[TJGR_genomic_gene.txt] go LEFT JOIN  [1123].[qDOD_Cgigas_gene_fasta] g on go.gID = g.CGI_ID,SELECT *  FROM  [1123].[TJGR_genomic_gene.txt] go  JOIN  [1123].[qDOD_Cgigas_gene_fasta] g on go.gID = g.CGI_ID,Missing keywords,LEFT,{'LEFT': 6},115,SELECT
"SELECT  [Date], [Time], [Image #], [file], Time_in, S1, number_of_whales, Date1, [Image #1], Time1, Distribution, number_of_whales1, State FROM  ( SELECT  * FROM  [88].[may10_S1_count.csv with distributions] UNION ALL SELECT  * FROM  [1324].[may10_S1_count.csv with distributions] ) c",No modification,N/A,N/A,{},284,SELECT
"SELECT  x, y, z FROM  [1267].[table_1A17_3.csv] WHERE  res_surface_area_ratio > 0.4",No modification,N/A,N/A,{},83,SELECT
"SELECT  t1.[Isolate ID],  t2.[Isolate ID],  t1.[Arc1327e Box],  t2.[Arc1327e Box] FROM  [table_t01_30Aug.csv] t1 join [table_t02_30Aug_1.csv] t2 on (t1.[Isolate ID] = t2.[Isolate ID]) where t1.[Isolate ID] <> ' ' and t2.[Isolate ID] <> ' '","SELECT  t1.[Isolate ID],  t2.[Isolate ID],  t1.[Arc1327e Box],  t2.[Arc1327e Box] FROM  [table_t01_30Aug.csv] t1 join [table_t02_30Aug_1.csv] t2 on (t1.[Isolate ID] = t2.[Isolate ID]) t1.[Isolate ID] <> ' ' and t2.[Isolate ID] <> ' '",Missing Keywords,WHERE,{'WHERE':27},239,SELECT
"SELECT  S.LAT,  S.LON,  S.[file], T.[OCEAN.TEMP], T.SALINITY, S.day, S.[BULK.RED] FROM  [1057].[Tokyo4_sds_timestamp] as S, [1057].[Tokyo4_sds_TS] as T WHERE  S.timestamp = T.timestamp","SELECT  S.LAT,  S.LON,  S.[file], T.[OCEAN.TEMP], T.SALINITY, S.day, S.[BULK.RED] FROM  [1057].[Tokyo4_sds_timestamp] as S, [1057].[Tokyo4_sds_TS] as T WHERE   = T.timestamp",Missing Column,S.timestamp,{'S.timestamp': 17},184,SELECT
select * from tbl_organizer where organizer_type not in (select organizer_type from tbl_organizer_type), * from tbl_organizer where organizer_type not in (select organizer_type from tbl_organizer_type),Missing Keywords,select,{'select': 1},103,SELECT
"SELECT  * FROM  [826].[PmTE_ALL-DE.txt] DE ,  [826].[table_Psemu1FL_RT_spgp_gp_ok.txt] supergroup WHERE  supergroup.Consensus = DE.name AND  logFC_Fe < 0.5 AND  logFC_Fe > -0.5 AND  logFC_P < -1 AND  logFC_Si < -1 AND  logFC_Urea < -1 AND  (PValue_Fe < 0.05 OR  PValue_P < 0.05 OR  PValue_Si < 0.05 OR  PValue_Urea < 0.05)","SELECT  * FROM  [826].[PmTE_ALL-DE.txt] DE ,  [826].[table_Psemu1FL_RT_spgp_gp_ok.txt] supergroup WHERE  supergroup.Consensus = DE.name   logFC_Fe < 0.5 AND  logFC_Fe > -0.5 AND  logFC_P < -1 AND  logFC_Si < -1 AND  logFC_Urea < -1 AND  (PValue_Fe < 0.05 OR  PValue_P < 0.05 OR  PValue_Si < 0.05 OR  PValue_Urea < 0.05)",Missing Keywords,AND  ,{'AND:13},322,SELECT
SELECT  TOP 10 query FROM  [sqlshare].[sqlshare].[1385_query_log] where id = 1424 ORDER BY  id DESC,No modification,N/A,N/A,{},99,SELECT
"select s.ssgcidid,  s.uniprot,  ec.""EC Numbers"",  ec.""Database"" as ec_source,  ec.enzyme_id as ec_source_id,  s.annotation from [Unique_EC_mapped_to_UniProt] ec join [ssgcid_uniprot.csv] s on (s.uniprot = ec.accession)","select s.ssgcidid,  s.uniprot,  ec.""EC Numbers"",  ec.""Database"" as ec_source,  ec.enzyme_id as ec_source_id,  s.annotation from [Unique_EC_mapped_to_UniProt] ec join [ssgcid_uniprot.csv] s  (s.uniprot = ec.accession)",Missing Keywords,on ,{'on':24},218,SELECT
SELECT  query FROM  [sqlshare].[sqlshare].[1385_query_log] WHERE  status = 'success' group by query,No modification,N/A,N/A,{},99,SELECT
SELECT  [protein ETS] AS [protein ID] FROM  [412].[C2_ETS.prot.txt] UNION ALL SELECT  [protein BLN] FROM  [412].[C2 BLN distinct],No modification,N/A,N/A,{},129,SELECT
"SELECT  newid, rand(hashbytes('sha',  Collaborator)+ datepart(ms,  GETDATE())) FROM  [1314howe].[organization pairs]","SELECT  , rand(hashbytes('sha',  Collaborator)+ datepart(ms,  GETDATE())) FROM  [1314howe].[organization pairs]",Missing Column,newid,{'newid': 2},118,SELECT
"SELECT  [Saito_Id],  [Identified Proteins],  [Accession],  [BLAST_NR ANNOTATION],  [BLAST NR OR GANISM],  [BLAST Microbial P col1],  [BLAST Microbial P col2],  [Molecular Weight (kDa)] ,  3 AS Sample ,  'P8' AS Station ,  70 AS 'Depth (m)' ,  [(G3)-S8-70m] AS [Spectral Count] FROM  [446].[Cleaned_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]",No modification,N/A,N/A,{},354,SELECT
"SELECT  DISTINCT * FROM  [412].[NSAF averages,  5-fold,  SPID,  enriched]",No modification,N/A,N/A,{},73,SELECT
SELECT  * FROM  [790].[table_EXTR_Accessory_V.csv] where AccyType=31 and Size<>0 and Quantity<6 and Quantity>2  and Unit<>0 and Grade>3,No modification,N/A,N/A,{},135,SELECT
"SELECT  TOP 1 * FROM  [1002].[Tokyo_1_merged_data_time.csv] t, [1002].[sds.tab] s WHERE  t.timestamp <> s.timestamp ORDER BY  t.timestamp DESC",No modification,N/A,N/A,{},142,SELECT
"SELECT  Source,  COUNT(Label) FROM  [446].[GeoMICS_key.csv] GROUP BY  Source","SELECT  Source,  COUNT(Label) FROM  [446].[GeoMICS_key.csv]  BY  Source",Missing Keywords,GROUP,{'GROUP:10},76,SELECT
"SELECT  DateTime,  lat,  long ,  pop,  flow,  salinity ,  temperature,  fluorescence ,  evt,  opp ,  conc,  n,  resamp,  bulk_red FROM  [1059].[STATS_VIEW]",No modification,N/A,N/A,{},155,SELECT
"create table Article (pubid int primary key,  journal text,  month text,  volume text,  number text)"," table Article (pubid int primary key,  journal text,  month text,  volume text,  number text)",Missing Keywords,create,{'create': 1},100,CREATE
"SELECT  Column1 as ID, (CAST(Column3 AS FLOAT)/length)*100, Column3, length, Column5 FROM  [1123].[Oyster Genes with CG ratio per loci]",No modification,N/A,N/A,{},135,SELECT
SELECT  * FROM  [412].[5-fold diff expressed proteins.txt] LEFT JOIN  [412].[table_TJGR_Gene_SPID_evalue_Description.txt] ON [412].[5-fold diff expressed proteins.txt].[OA 5-fold]=[412].[table_TJGR_Gene_SPID_evalue_Description.txt].[CGI Protein],No modification,N/A,N/A,{},245,SELECT
"SELECT * max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE --job_title like '%RESEAR%PRINCI%' job_title like 'ASSISTANT PROFESSOR ' --name like '%balazinska%' --AND  job_title not like '%APL%' AND  salary < 120800 --ORDER BY  salary desc"," SELECT * (salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE --job_title like '%RESEAR%PRINCI%' job_title like 'ASSISTANT PROFESSOR ' --name like '%balazinska%' --AND  job_title not like '%APL%' AND  salary < 120800 --ORDER BY  salary desc",Missing Function,MAX,{MAX:3},371,SELECT
"select p.pathway_id,  p.pathway_name,  s.genus,  s.ec_number,  e.pdbid from [ec_pathway.csv] p join [ssgcid_EC_map] s on ( p.ec_number=  s.ec_number) left outer join [ec_pdb_genus.csv] e on (e.ec_number =  p.ec_number) where e.pdbid is null",No modification,N/A,N/A,{},240,SELECT
"WITH  collab as (SELECT  * FROM  [1314howe].[escience site visit collaborators]) SELECT  * FROM  collab a,  collab b WHERE  a.Organization = b.Organization AND  a.Collaborator != b.Collaborator","WITH  collab as (SELECT   FROM  [1314howe].[escience site visit collaborators]) SELECT  * FROM  collab a,  collab b WHERE  a.Organization = b.Organization AND  a.Collaborator != b.Collaborator",Missing Column,*,{'*': 5},193,OTHER
"Select PeptideSequence, count(*) as cnt from [1123].[OAMS_Skyline_p2_c_] GROUP BY  [PeptideSequence] HAVING COUNT (*) = 1",No modification,N/A,N/A,{},121,SELECT
"SELECT  [All Proteins], SUM (numuniquepepsCG242_01+numuniquepepsCG242_02+numuniquepepsCG242_03) AS [CG242 unique peps sum] FROM  [412].[Oyster 242 spec counts] GROUP BY  [All Proteins]","  [All Proteins], SUM (numuniquepepsCG242_01+numuniquepepsCG242_02+numuniquepepsCG242_03) AS [CG242 unique peps sum] FROM  [412].[Oyster 242 spec counts] GROUP BY  [All Proteins]",Missing Function,SUM,{'SUM': 4},184,SELECT
